id_venda,data_venda,id_loja,id_produto,id_vendedor,quantidade,valor_unitario,desconto
1,2024-01-07,7,115,16,1,2899.0,20
2,2024-06-17,7,112,16,1,79.9,0
3,2024-03-15,7,142,16,1,449.0,5
4,2024-06-19,11,104,27,3,3299.0,30
5,2024-06-11,2,129,5,1,2503.81,0
6,2024-02-10,7,143,17,1,399.0,0
7,2023-12-08,5,146,12,2,89.9,20
8,2024-05-17,14,135,35,4,1099.0,0
9,2024-01-19,4,150,9,3,129.0,0
10,2024-07-24,15,133,39,2,1199.0,5
11,2024-06-04,10,101,24,1,1899.0,15
12,2023-09-03,11,130,27,1,699.0,5
13,2024-03-11,13,102,34,3,999.0,15
14,2023-11-27,14,117,35,1,2299.0,0
15,2023-11-16,11,140,27,1,249.0,0
16,2024-08-20,7,122,16,1,159.9,5
17,2023-09-29,14,131,36,2,449.0,0
18,2024-01-21,13,108,34,1,1499.0,0
19,2023-11-21,2,109,6,2,2299.0,15
20,2024-06-02,10,126,25,2,2999.0,0
21,2024-05-02,12,150,31,1,129.0,10
22,2024-05-04,2,115,5,3,2899.0,0
23,2024-05-16,14,101,35,1,1899.0,10
24,2024-08-10,15,102,38,1,999.0,10
25,2023-12-22,14,114,36,1,4899.0,5
26,2023-10-18,10,121,24,1,1499.0,15
27,2024-06-18,5,148,12,1,121.37,0
28,2024-02-15,2,133,5,1,1199.0,10
29,2024-03-08,5,144,12,1,299.0,10
30,2023-12-18,10,140,25,2,249.0,5
31,2024-01-20,6,107,15,2,299.0,0
32,2024-05-10,4,135,9,2,1099.0,0
33,2023-12-30,4,147,10,1,181.48,0
34,2024-03-09,7,135,17,1,1099.0,0
35,2024-02-18,11,123,28,2,394.58,0
36,2024-06-13,2,112,5,4,79.9,0
37,2024-04-02,3,118,7,4,199.9,0
38,2023-10-10,7,111,16,3,149.9,0
39,2024-06-15,13,135,34,1,1099.0,25
40,2024-07-28,6,106,13,4,59.9,25
41,2024-02-04,6,131,15,1,449.0,10
42,2023-12-09,12,135,29,2,1099.0,10
43,2023-09-06,15,103,38,1,2899.0,10
44,2024-01-05,2,141,5,1,435.91,0
45,2024-06-25,11,130,27,-1,699.0,5
46,2024-07-03,13,108,34,1,1499.0,0
47,2024-03-11,6,134,13,4,199.0,10
48,2024-08-01,6,105,15,1,5499.0,10
49,2023-11-13,2,124,6,4,129.9,0
50,2024-03-29,6,132,14,1,899.0,10
51,2023-12-03,6,138,15,4,2199.0,5
52,2023-11-11,7,129,16,1,2899.0,15
53,2024-05-04,8,142,20,4,449.0,0
54,2023-12-03,7,149,16,1,229.0,5
55,2023-09-08,7,104,16,1,3299.0,0
56,2024-01-16,6,106,14,1,59.9,5
57,2024-01-21,2,117,4,1,2299.0,15
58,2024-06-27,10,147,26,3,199.0,5
59,2024-06-09,8,125,19,1,2199.0,5
60,2024-04-11,7,118,17,1,199.9,0
61,2023-12-12,8,134,20,2,199.0,0
62,2024-05-19,6,104,14,1,3018.13,10
63,2023-10-08,6,146,13,2,89.9,0
64,2023-11-30,14,133,35,1,1199.0,15
65,2023-09-09,1,143,3,4,399.0,20
66,2023-11-02,2,120,4,3,999.0,15
67,2024-06-21,1,121,1,2,1499.0,0
68,2023-12-07,3,150,7,1,121.98,5
69,2024-02-28,13,124,33,1,129.9,15
70,2024-02-17,14,102,35,3,999.0,10
71,2023-10-27,1,101,40,1,1899.0,0
72,2023-12-23,9,102,22,4,999.0,0
73,2023-12-21,1,110,1,2,6999.0,0
74,2024-08-11,6,133,14,1,1199.0,25
75,2024-07-22,11,146,28,3,89.9,0
76,2023-11-29,9,110,21,1,6999.0,0
77,2024-03-24,6,105,13,2,5499.0,5
78,2024-07-31,9,142,21,1,449.0,15
79,2024-07-16,1,132,2,1,899.0,20
80,2024-05-19,2,115,4,1,2541.32,0
81,2023-12-16,9,128,23,1,1799.0,5
82,2024-08-05,7,117,16,1,2139.32,0
83,2024-03-16,8,146,19,1,89.9,10
84,2024-06-13,13,136,32,2,1399.0,0
85,2023-11-20,12,108,30,1,1499.0,0
86,2023-09-29,2,110,4,3,6999.0,25
87,2023-10-09,4,115,9,1,2899.0,15
88,2024-02-07,7,137,16,1,1629.63,10
89,2024-06-10,4,111,10,4,149.9,10
90,2024-07-04,9,115,23,1,2899.0,0
91,2024-04-05,15,137,39,2,1799.0,15
92,2023-11-15,7,145,17,2,159.0,0
93,2024-08-17,4,121,9,4,1499.0,10
94,2024-05-23,2,117,5,2,2299.0,5
95,2023-09-18,5,136,11,2,1399.0,0
96,2024-07-24,7,117,16,2,2299.0,0
97,2024-02-12,8,130,19,1,699.0,0
98,2023-09-30,1,120,40,1,999.0,5
99,2024-03-27,13,139,33,5,599.0,5
100,2023-09-15,5,116,12,1,1799.0,0
101,2024-06-16,9,148,21,1,139.0,25
102,2024-04-09,3,137,7,1,1799.0,20
103,2023-12-22,12,119,29,1,546.62,0
104,2024-08-29,11,150,27,4,129.0,5
105,2023-11-12,7,146,17,1,89.9,0
