id_produto,nome_produto,categoria,subcategoria,custo
101,TV LED 50",Eletrônicos,Televisores,1200.00
102,TV LED 32",Eletrônicos,Televisores,650.00
103,Smart TV 55" 4K,Eletrônicos,Televisores,1800.00
104,Notebook i5 8GB,Eletrônicos,Informática,2100.00
105,Notebook i7 16GB,Eletrônicos,Informática,3500.00
106,Mouse Sem Fio,Eletrônicos,Informática,35.00
107,Teclado Mecânico,Eletrônicos,Informática,180.00
108,Smartphone Android 128GB,Eletrônicos,Celulares,900.00
109,Smartphone Android 256GB,Eletrônicos,Celulares,1400.00
110,iPhone 14,Eletrônicos,Celulares,4200.00
111,Fone Bluetooth,Eletrônicos,Acessórios,85.00
112,Carregador Portátil,Eletrônicos,Acessórios,45.00
113,Geladeira Frost Free 400L,Eletrodomésticos,Refrigeração,2200.00
114,Geladeira Duplex 500L,Eletrodomésticos,Refrigeração,3100.00
115,Freezer Vertical 300L,Eletrodomésticos,Refrigeração,1800.00
116,Ar Condicionado 9000 BTU,Eletrodomésticos,Climatização,1100.00
117,Ar Condicionado 12000 BTU,Eletrodomésticos,Climatização,1450.00
118,Ventilador de Coluna,Eletrodomésticos,Climatização,120.00
119,Micro-ondas 30L,Eletrodomésticos,Cozinha,380.00
120,Fogão 4 Bocas,Eletrodomésticos,Cozinha,650.00
121,Fogão 5 Bocas,Eletrodomésticos,Cozinha,950.00
122,Liquidificador 1000W,Eletrodomésticos,Cozinha,95.00
123,Batedeira Planetária,Eletrodomésticos,Cozinha,280.00
124,Cafeteira Elétrica,Eletrodomésticos,Cozinha,75.00
125,Máquina de Lavar 11kg,Eletrodomésticos,Lavanderia,1400.00
126,Máquina de Lavar 15kg,Eletrodomésticos,Lavanderia,1900.00
127,Secadora de Roupas,Eletrodomésticos,Lavanderia,1650.00
128,Sofá 3 Lugares,Móveis,Sala,1100.00
129,Sofá Retrátil,Móveis,Sala,1800.00
130,Rack para TV,Móveis,Sala,420.00
131,Mesa de Centro,Móveis,Sala,280.00
132,Poltrona Decorativa,Móveis,Sala,550.00
133,Mesa de Jantar 6 Lugares,Móveis,Cozinha,750.00
134,Cadeira de Jantar,Móveis,Cozinha,120.00
135,Armário de Cozinha,Móveis,Cozinha,680.00
136,Cama Box Casal,Móveis,Quarto,850.00
137,Cama Box Queen,Móveis,Quarto,1100.00
138,Guarda-Roupa 6 Portas,Móveis,Quarto,1350.00
139,Cômoda 5 Gavetas,Móveis,Quarto,380.00
140,Criado Mudo,Móveis,Quarto,150.00
141,Escrivaninha,Móveis,Escritório,320.00
142,Cadeira de Escritório,Móveis,Escritório,280.00
143,Estante para Livros,Móveis,Escritório,240.00
144,Jogo de Panelas 5 Peças,Utilidades,Cozinha,180.00
145,Jogo de Talheres 24 Peças,Utilidades,Cozinha,95.00
146,Jogo de Copos 12 Peças,Utilidades,Cozinha,55.00
147,Jogo de Cama Casal,Utilidades,Cama e Banho,120.00
148,Jogo de Toalhas 5 Peças,Utilidades,Cama e Banho,85.00
149,Cobertor Queen,Utilidades,Cama e Banho,140.00
150,Travesseiro Viscoelástico,Utilidades,Cama e Banho,75.00
